Name,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+
Jose Heberto Felix,29,298,3.40%,7.00%,0.48,0.266,0.29,0.337,0.627,0.071,2.7,0.275,0,23,-15.7,0.288,60
Humberto Sosa,31,277,6.90%,18.40%,0.37,0.231,0.28,0.355,0.635,0.124,2.3,0.265,0.4,21,-14.9,0.286,59
Pedro Ciriaco,31,316,1.60%,13.00%,0.12,0.275,0.288,0.344,0.632,0.07,3.9,0.308,0,24,-17.2,0.286,58
Oscar Williams,25,237,5.90%,23.60%,0.25,0.245,0.303,0.288,0.591,0.043,4.6,0.327,-0.1,17,-13.8,0.281,56
Yuniesky Betancourt,35,218,4.10%,7.30%,0.56,0.27,0.295,0.319,0.614,0.049,2,0.283,-0.3,16,-12.8,0.281,55
Luis Medina,22,122,6.60%,23.80%,0.28,0.217,0.272,0.33,0.602,0.113,6.9,0.28,0.2,8,-7.5,0.277,53
Luis Fonseca,32,213,5.60%,21.10%,0.27,0.225,0.279,0.33,0.609,0.105,3.2,0.266,0.1,15,-13.3,0.277,52
Kristian Delgado,23,187,8.00%,9.60%,0.83,0.222,0.286,0.293,0.58,0.072,4.9,0.245,-0.8,12,-12.1,0.273,50
Francisco Cordoba,33,254,7.10%,18.10%,0.39,0.22,0.285,0.283,0.567,0.063,1.3,0.261,0.2,16,-17.3,0.27,48
J.P. Ramirez,27,191,2.60%,17.30%,0.15,0.257,0.279,0.307,0.586,0.05,4.3,0.307,0.8,12,-13.5,0.267,46
Miguel Rodriguez,22,144,5.60%,13.90%,0.4,0.227,0.275,0.295,0.57,0.068,2,0.259,-0.3,9,-10.2,0.267,46
Hector Paez,39,116,0.90%,16.40%,0.05,0.222,0.241,0.343,0.584,0.12,0.9,0.241,0.1,6,-8.7,0.262,43
Alejandro Rivero,28,242,7.00%,10.70%,0.65,0.209,0.277,0.265,0.542,0.056,4.2,0.228,0.9,13,-18.4,0.26,42
Kevin Flores,32,203,5.40%,14.80%,0.37,0.215,0.279,0.26,0.539,0.044,4.7,0.258,0.6,11,-15.9,0.257,40
Mario Vega,25,167,5.40%,18.60%,0.29,0.205,0.258,0.26,0.518,0.055,4.3,0.25,0.5,7,-14.8,0.245,32
Isidro Pina,28,156,8.30%,21.20%,0.39,0.196,0.268,0.217,0.485,0.022,1.5,0.255,0.1,6,-14.6,0.24,29
Eduardo Santos,24,127,6.30%,17.30%,0.36,0.167,0.228,0.167,0.394,0,1.6,0.207,0.1,0,-16.7,0.194,-1
